name	country_code	reg_code	reg_name	area_code	area_name	location_type	tree_level	SortOrder	agcode_1500000	agcode_1501000	agcode_1502000	agcode_1503000	agcode_1517000	agcode_1518000	agcode_1636000	agcode_1637000	agcode_1829000	agcode_1830000	agcode_1831000	agcode_1832000	agcode_1833000	agcode_1834000	agcode_1835000	agcode_1836000	agcode_901000	agcode_902000	agcode_934000	agcode_941000	agcode_948000
Russian Federation	643	923	Eastern Europe	908	Europe	4	5	157	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Slovakia	703	923	Eastern Europe	908	Europe	4	5	158	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Ukraine	804	923	Eastern Europe	908	Europe	4	5	159	-1	1501	-1	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Northern Europe	924	-1		-1		3	4	160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Denmark	208	924	Northern Europe	908	Europe	4	5	161	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Estonia	233	924	Northern Europe	908	Europe	4	5	162	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Faroe Islands	234	924	Northern Europe	908	Europe	4	5	163	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Finland	246	924	Northern Europe	908	Europe	4	5	164	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Guernsey	831	924	Northern Europe	908	Europe	4	5	165	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Iceland	352	924	Northern Europe	908	Europe	4	5	166	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Ireland	372	924	Northern Europe	908	Europe	4	5	167	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Isle of Man	833	924	Northern Europe	908	Europe	4	5	168	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Jersey	832	924	Northern Europe	908	Europe	4	5	169	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Latvia	428	924	Northern Europe	908	Europe	4	5	170	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Lithuania	440	924	Northern Europe	908	Europe	4	5	171	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Norway	578	924	Northern Europe	908	Europe	4	5	172	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Sweden	752	924	Northern Europe	908	Europe	4	5	173	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
United Kingdom	826	924	Northern Europe	908	Europe	4	5	174	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Southern Europe	925	-1		-1		3	4	175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Albania	8	925	Southern Europe	908	Europe	4	5	176	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Andorra	20	925	Southern Europe	908	Europe	4	5	177	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Bosnia and Herzegovina	70	925	Southern Europe	908	Europe	4	5	178	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Croatia	191	925	Southern Europe	908	Europe	4	5	179	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Gibraltar	292	925	Southern Europe	908	Europe	4	5	180	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Greece	300	925	Southern Europe	908	Europe	4	5	181	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Holy See	336	925	Southern Europe	908	Europe	4	5	182	-1	-1	-1	-1	-1	1518	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Italy	380	925	Southern Europe	908	Europe	4	5	183	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Kosovo (under UNSC res. 1244)	412	925	Southern Europe	908	Europe	4	5	184	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Malta	470	925	Southern Europe	908	Europe	4	5	185	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Montenegro	499	925	Southern Europe	908	Europe	4	5	186	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
North Macedonia	807	925	Southern Europe	908	Europe	4	5	187	-1	-1	1502	-1	1517	-1	1636	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Portugal	620	925	Southern Europe	908	Europe	4	5	188	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
San Marino	674	925	Southern Europe	908	Europe	4	5	189	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Serbia	688	925	Southern Europe	908	Europe	4	5	190	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Slovenia	705	925	Southern Europe	908	Europe	4	5	191	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Spain	724	925	Southern Europe	908	Europe	4	5	192	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Western Europe	926	-1		-1		3	4	193	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Austria	40	926	Western Europe	908	Europe	4	5	194	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Belgium	56	926	Western Europe	908	Europe	4	5	195	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
France	250	926	Western Europe	908	Europe	4	5	196	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Germany	276	926	Western Europe	908	Europe	4	5	197	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Liechtenstein	438	926	Western Europe	908	Europe	4	5	198	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Luxembourg	442	926	Western Europe	908	Europe	4	5	199	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Monaco	492	926	Western Europe	908	Europe	4	5	200	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Netherlands	528	926	Western Europe	908	Europe	4	5	201	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Switzerland	756	926	Western Europe	908	Europe	4	5	202	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Latin America and the Caribbean	904	-1		-1		2	3	203	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Caribbean	915	-1		-1		3	4	204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Anguilla	660	915	Caribbean	904	Latin America and the Caribbean	4	5	205	-1	-1	-1	-1	-1	1518	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Antigua and Barbuda	28	915	Caribbean	904	Latin America and the Caribbean	4	5	206	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Aruba	533	915	Caribbean	904	Latin America and the Caribbean	4	5	207	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Bahamas	44	915	Caribbean	904	Latin America and the Caribbean	4	5	208	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Barbados	52	915	Caribbean	904	Latin America and the Caribbean	4	5	209	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Bonaire, Sint Eustatius and Saba	535	915	Caribbean	904	Latin America and the Caribbean	4	5	210	-1	-1	-1	-1	-1	1518	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
British Virgin Islands	92	915	Caribbean	904	Latin America and the Caribbean	4	5	211	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Cayman Islands	136	915	Caribbean	904	Latin America and the Caribbean	4	5	212	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Cuba	192	915	Caribbean	904	Latin America and the Caribbean	4	5	213	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Curacao	531	915	Caribbean	904	Latin America and the Caribbean	4	5	214	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Dominica	212	915	Caribbean	904	Latin America and the Caribbean	4	5	215	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Dominican Republic	214	915	Caribbean	904	Latin America and the Caribbean	4	5	216	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Grenada	308	915	Caribbean	904	Latin America and the Caribbean	4	5	217	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Guadeloupe	312	915	Caribbean	904	Latin America and the Caribbean	4	5	218	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Haiti	332	915	Caribbean	904	Latin America and the Caribbean	4	5	219	-1	1501	-1	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	-1	941	948
Jamaica	388	915	Caribbean	904	Latin America and the Caribbean	4	5	220	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Martinique	474	915	Caribbean	904	Latin America and the Caribbean	4	5	221	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Montserrat	500	915	Caribbean	904	Latin America and the Caribbean	4	5	222	-1	-1	-1	-1	-1	1518	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Puerto Rico	630	915	Caribbean	904	Latin America and the Caribbean	4	5	223	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Saint-Barthelemy	652	915	Caribbean	904	Latin America and the Caribbean	4	5	224	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Saint Kitts and Nevis	659	915	Caribbean	904	Latin America and the Caribbean	4	5	225	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Saint Lucia	662	915	Caribbean	904	Latin America and the Caribbean	4	5	226	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Saint Martin (French part)	663	915	Caribbean	904	Latin America and the Caribbean	4	5	227	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Saint Vincent and the Grenadines	670	915	Caribbean	904	Latin America and the Caribbean	4	5	228	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Sint Maarten (Dutch part)	534	915	Caribbean	904	Latin America and the Caribbean	4	5	229	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Trinidad and Tobago	780	915	Caribbean	904	Latin America and the Caribbean	4	5	230	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Turks and Caicos Islands	796	915	Caribbean	904	Latin America and the Caribbean	4	5	231	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
United States Virgin Islands	850	915	Caribbean	904	Latin America and the Caribbean	4	5	232	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Central America	916	-1		-1		3	4	233	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Belize	84	916	Central America	904	Latin America and the Caribbean	4	5	234	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Costa Rica	188	916	Central America	904	Latin America and the Caribbean	4	5	235	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
El Salvador	222	916	Central America	904	Latin America and the Caribbean	4	5	236	-1	1501	-1	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Guatemala	320	916	Central America	904	Latin America and the Caribbean	4	5	237	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Honduras	340	916	Central America	904	Latin America and the Caribbean	4	5	238	-1	1501	-1	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Mexico	484	916	Central America	904	Latin America and the Caribbean	4	5	239	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Nicaragua	558	916	Central America	904	Latin America and the Caribbean	4	5	240	-1	1501	-1	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Panama	591	916	Central America	904	Latin America and the Caribbean	4	5	241	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
South America	931	-1		-1		3	4	242	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Argentina	32	931	South America	904	Latin America and the Caribbean	4	5	243	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Bolivia (Plurinational State of)	68	931	South America	904	Latin America and the Caribbean	4	5	244	-1	1501	-1	-1	1517	-1	1636	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Brazil	76	931	South America	904	Latin America and the Caribbean	4	5	245	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Chile	152	931	South America	904	Latin America and the Caribbean	4	5	246	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Colombia	170	931	South America	904	Latin America and the Caribbean	4	5	247	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Ecuador	218	931	South America	904	Latin America and the Caribbean	4	5	248	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Falkland Islands (Malvinas)	238	931	South America	904	Latin America and the Caribbean	4	5	249	-1	-1	-1	-1	-1	1518	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
French Guiana	254	931	South America	904	Latin America and the Caribbean	4	5	250	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Guyana	328	931	South America	904	Latin America and the Caribbean	4	5	251	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Paraguay	600	931	South America	904	Latin America and the Caribbean	4	5	252	-1	-1	1502	-1	1517	-1	1636	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Peru	604	931	South America	904	Latin America and the Caribbean	4	5	253	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Suriname	740	931	South America	904	Latin America and the Caribbean	4	5	254	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Uruguay	858	931	South America	904	Latin America and the Caribbean	4	5	255	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Venezuela (Bolivarian Republic of)	862	931	South America	904	Latin America and the Caribbean	4	5	256	-1	-1	-1	-1	-1	1518	-1	-1	-1	1830	-1	-1	-1	-1	-1	-1	-1	902	934	-1	948
Northern America	905	-1		-1		2	3	257	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bermuda	60	-1		905	Northern America	4	4	258	-1	-1	-1	1503	-1	-1	-1	1637	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Canada	124	-1		905	Northern America	4	4	259	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Greenland	304	-1		905	Northern America	4	4	260	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Saint Pierre and Miquelon	666	-1		905	Northern America	4	4	261	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
United States of America	840	-1		905	Northern America	4	4	262	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1
Oceania	909	-1		-1		2	3	263	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Australia/New Zealand	927	-1		-1		3	4	264	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Australia	36	927	Australia/New Zealand	909	Oceania	4	5	265	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1836	901	-1	-1	-1	-1
New Zealand	554	927	Australia/New Zealand	909	Oceania	4	5	266	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1836	901	-1	-1	-1	-1
Melanesia	928	-1		-1		3	4	267	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Fiji	242	928	Melanesia	909	Oceania	4	5	268	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
New Caledonia	540	928	Melanesia	909	Oceania	4	5	269	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Papua New Guinea	598	928	Melanesia	909	Oceania	4	5	270	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Solomon Islands	90	928	Melanesia	909	Oceania	4	5	271	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	-1	941	948
Vanuatu	548	928	Melanesia	909	Oceania	4	5	272	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Micronesia	954	-1		-1		3	4	273	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guam	316	954	Micronesia	909	Oceania	4	5	274	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Kiribati	296	954	Micronesia	909	Oceania	4	5	275	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	-1	941	948
Marshall Islands	584	954	Micronesia	909	Oceania	4	5	276	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Micronesia (Fed. States of)	583	954	Micronesia	909	Oceania	4	5	277	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Nauru	520	954	Micronesia	909	Oceania	4	5	278	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Northern Mariana Islands	580	954	Micronesia	909	Oceania	4	5	279	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Palau	585	954	Micronesia	909	Oceania	4	5	280	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Polynesia	957	-1		-1		3	4	281	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
American Samoa	16	957	Polynesia	909	Oceania	4	5	282	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Cook Islands	184	957	Polynesia	909	Oceania	4	5	283	-1	-1	-1	-1	-1	1518	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
French Polynesia	258	957	Polynesia	909	Oceania	4	5	284	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Niue	570	957	Polynesia	909	Oceania	4	5	285	-1	-1	-1	-1	-1	1518	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Samoa	882	957	Polynesia	909	Oceania	4	5	286	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Tokelau	772	957	Polynesia	909	Oceania	4	5	287	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Tonga	776	957	Polynesia	909	Oceania	4	5	288	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
Tuvalu	798	957	Polynesia	909	Oceania	4	5	289	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	-1	941	948
Wallis and Futuna Islands	876	957	Polynesia	909	Oceania	4	5	290	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	-1	-1	1835	-1	-1	902	934	-1	948
